lat,long
-16.129,-48.311
-15.746,-47.18
-15.763,-47.292
-15.737,-47.181
-15.734,-47.287
-15.736,-47.297
-15.694,-47.198
-15.568,-46.717
-15.398,-46.512
-15.392,-46.519
-15.546,-48.02
-15.539,-48.04
-15.408,-47.194
-15.345,-47.074
-15.327,-47.019
-15.335,-47.076
-15.462,-48.143
-15.258,-47.172
-15.185,-47.054
-15.176,-47.055
-15.285,-47.994
-15.286,-48.003
-14.943,-46.782
-14.944,-46.791
-14.92,-46.883
-14.719,-46.829
-14.735,-47.185
-14.765,-47.451
-14.751,-47.424
-14.756,-47.452
-14.594,-46.485
-14.68,-47.252
-14.681,-47.262
-14.833,-48.374
-14.688,-47.43
-14.676,-47.413
-14.678,-47.422
-14.637,-47.458
-14.638,-47.467
-14.629,-47.469
-14.591,-47.971
-14.606,-48.072
-14.607,-48.081
-15.151,-52.412
-15.153,-52.426
-14.359,-47.319
-14.35,-47.32
-14.223,-47.525
-14.228,-47.553
-14.216,-47.536
-14.219,-47.555
-14.22,-47.564
-14.274,-47.934
-14.205,-47.528
-14.207,-47.537
-14.208,-47.547
-14.189,-47.54
-14.613,-50.6
-14.615,-50.611
-14.158,-47.392
-14.159,-47.401
-14.16,-47.41
-14.15,-47.402
-13.893,-47.092
-13.899,-47.131
-14.03,-48.74
-13.748,-46.924
-13.502,-45.706
-13.503,-45.717
-13.493,-45.718
-13.655,-47.171
-13.468,-46.222
-13.527,-46.931
-13.489,-47.101
-13.48,-47.103
-13.476,-47.142
-13.842,-49.707
-13.843,-49.717
-13.73,-49.027
-13.731,-49.036
-13.363,-46.748
-13.354,-46.75
-13.761,-49.716
-12.74,-44.564
-12.742,-44.577
-12.744,-44.591
-12.731,-44.579
-13.381,-48.965
-12.984,-46.383
-12.978,-46.379
-12.588,-44.263
-12.59,-44.277
-13.108,-48.79
-13.156,-49.463
-12.993,-48.757
-12.405,-45.295
-12.64,-46.963
-12.857,-48.447
-12.62,-46.895
-12.622,-46.905
-12.535,-46.813
-12.566,-47.021
-12.591,-47.563
-11.975,-44.174
-12.058,-44.7
-12.331,-47.106
-12.332,-47.115
-12.464,-48.4
-12.316,-48.519
-12.305,-48.511
-12.307,-48.521
-12.091,-47.176
-12.287,-48.514
-12.289,-48.523
-12.341,-49.477
-12.235,-49.244
-12.211,-50.862
-11.859,-48.413
-11.82,-48.335
-11.819,-48.715
-12.169,-51.378
-12.17,-51.388
-11.87,-49.464
-12.058,-50.838
-11.724,-49.207
-11.725,-49.216
-11.566,-48.616
-10.696,-43.648
-12.153,-54.291
-11.407,-49.767
-11.061,-49.46
-11.062,-49.469
-11.138,-50.203
-11.387,-52.012
-10.641,-48.132
-10.642,-48.141
-10.28,-49.463
-10.281,-49.472
-10.271,-49.464
-10.272,-49.473
-10.529,-51.761
-10.531,-51.771
-10.526,-51.756
-10.528,-51.767
-10.104,-49.65
-10.105,-49.659
-10.095,-49.651
-10.096,-49.66
-9.088,-44.893
-10.046,-51.429
-10.047,-51.439
-9.076,-44.895
-9.079,-44.909
-10.042,-51.471
-9.076,-44.902
-8.839,-44.849
-8.203,-42.491
-7.62,-42.806
-7.612,-42.814
-7.344,-42.943
-6.732,-42.901
-6.738,-42.906
-6.488,-44.238
-6.38,-44.135
-6.365,-44.119
-6.368,-44.137
-6.375,-44.124
-6.378,-44.142
-6.363,-44.126
-6.365,-44.144
-5.959,-44.727
-6.419,-48.207
-6.032,-45.874
-5.706,-45.71
-5.453,-46.487
-5.413,-46.287
-5.255,-45.451
-5.247,-46.158
-5.249,-46.172
-5.409,-47.437
-5.407,-47.433
-5.408,-47.444
-5.179,-46.094
-5.4,-47.729
-5.402,-47.739
-5.241,-46.794
-4.898,-44.829
-5.281,-47.48
-5.283,-47.491
-5.324,-47.767
-5.434,-49.029
-5.435,-49.038
-5.275,-48.693
-5.326,-49.371
-5.203,-49.988
-5.204,-49.997
-4.824,-47.831
-4.931,-48.556
-4.82,-47.827
-4.821,-47.837
-4.81,-47.828
-4.822,-47.911
-4.824,-47.922
-4.917,-48.633
-4.918,-48.643
-4.924,-48.681
-4.925,-48.691
-4.439,-45.523
